id,SkillName,categorytier1,categorytier2,categorytier3,ParentSkillMapping,categorytier5,type
1,Recruitment and Selection,Corporate,HR,,,Skill,Other
2,Talent Acquisition,Corporate,HR,,,Skill,Other
3,Candidate Sourcing,Corporate,HR,,,Skill,Other
4,Interviewing Techniques,Corporate,HR,,,Skill,Other
5,Job Analysis and Job Descriptions,Corporate,HR,,,Skill,Other
6,Employee Onboarding,Corporate,HR,,,Skill,Other
7,Employee Engagement,Corporate,HR,,,Skill,Other
8,Performance Management,Corporate,HR,,,Skill,Other
9,Compensation and Benefits Administration,Corporate,HR,,,Skill,Other
10,Payroll Management,Corporate,HR,,,Skill,Other
11,Employee Relations,Corporate,HR,,,Skill,Other
12,Conflict Resolution,Corporate,HR,,,Skill,Other
13,Labor Law and Employment Regulations,Corporate,HR,,,Skill,Other
14,Employee Training and Development,Corporate,HR,,,Skill,Other
15,Learning Management Systems (LMS),Corporate,HR,,,Skill,Other
16,Succession Planning,Corporate,HR,,,Skill,Other
17,Leadership Development,Corporate,HR,,,Skill,Other
18,Diversity and Inclusion,Corporate,HR,,,Skill,Other
19,Organizational Development,Corporate,HR,,,Skill,Other
20,Change Management,Corporate,HR,,,Skill,Other
21,HR Policy Development and Implementation,Corporate,HR,,,Skill,Other
22,Employee Retention Strategies,Corporate,HR,,,Skill,Other
23,Talent Management,Corporate,HR,,,Skill,Other
24,Workforce Planning,Corporate,HR,,,Skill,Other
25,HR Metrics and Analytics,Corporate,HR,,,Skill,Other
26,HR Information Systems (HRIS),Corporate,HR,,,Skill,Other
27,Employee Wellness Programs,Corporate,HR,,,Skill,Other
28,Workplace Safety and Occupational Health,Corporate,HR,,,Skill,Other
29,HR Compliance and Audit,Corporate,HR,,,Skill,Other
30,Employee Performance Evaluation,Corporate,HR,,,Skill,Other
31,HR Budgeting and Cost Management,Corporate,HR,,,Skill,Other
32,Employee Benefits Administration,Corporate,HR,,,Skill,Other
33,Employee Satisfaction Surveys,Corporate,HR,,,Skill,Other
34,HR Strategic Planning,Corporate,HR,,,Skill,Other
35,HR Data Privacy and Security,Corporate,HR,,,Skill,Other
36,HR Reporting and Documentation,Corporate,HR,,,Skill,Other
37,Employment Law and Regulations,Corporate,HR,,,Skill,Other
38,HR Vendor Management,Corporate,HR,,,Skill,Other
39,HR Project Management,Corporate,HR,,,Skill,Other
40,HR Consultancy,Corporate,HR,,,Skill,Other
41,Coaching and Mentoring,Corporate,HR,,,Skill,Other
42,Conflict Management,Corporate,HR,,,Skill,Other
43,Emotional Intelligence,Corporate,HR,,,Skill,Other
44,Communication and Interpersonal Skills,Corporate,HR,,,Skill,Other
45,Active Listening,Corporate,HR,,,Skill,Other
46,Problem-Solving and Decision-Making,Corporate,HR,,,Skill,Other
47,Ethics and Integrity,Corporate,HR,,,Skill,Other
48,Analytical Skills,Corporate,HR,,,Skill,Other
49,Attention to Detail,Corporate,HR,,,Skill,Other
50,Time Management and Prioritization,Corporate,HR,,,Skill,Other
51,Multitasking,Corporate,HR,,,Skill,Other
52,Teamwork and Collaboration,Corporate,HR,,,Skill,Other
53,Flexibility and Adaptability,Corporate,HR,,,Skill,Other
54,Leadership and Management Skills,Corporate,HR,,,Skill,Other
55,Presentation Skills,Corporate,HR,,,Skill,Other
56,Negotiation and Influencing Skills,Corporate,HR,,,Skill,Other
57,Data Analysis and Interpretation,Corporate,HR,,,Skill,Other
58,Business Acumen,Corporate,HR,,,Skill,Other
59,Critical Thinking,Corporate,HR,,,Skill,Other
60,Relationship Building,Corporate,HR,,,Skill,Other
61,Empathy and Compassion,Corporate,HR,,,Skill,Other
62,Confidentiality and Discretion,Corporate,HR,,,Skill,Other
63,Conflict Resolution,Corporate,HR,,,Skill,Other
64,Cross-Cultural Competence,Corporate,HR,,,Skill,Other
65,Project Management,Corporate,HR,,,Skill,Other
66,Strategic Thinking,Corporate,HR,,,Skill,Other
67,Organizational Skills,Corporate,HR,,,Skill,Other
68,Decision-Making,Corporate,HR,,,Skill,Other
69,Budgeting and Financial Management,Corporate,HR,,,Skill,Other
70,Technical Skills (e.g.,Corporate,HR,,,Skill,Other
71,Problem Analysis and Resolution,Corporate,HR,,,Skill,Other
72,Vendor Management,Corporate,HR,,,Skill,Other
73,Training and Facilitation,Corporate,HR,,,Skill,Other
74,Knowledge of HR Best Practices,Corporate,HR,,,Skill,Other
75,Job Analysis,Corporate,HR,Recruitment,,Skill,Other
76,Candidate Sourcing,Corporate,HR,Recruitment,,Skill,Other
77,Candidate Screening,Corporate,HR,Recruitment,,Skill,Other
78,Interviewing Techniques,Corporate,HR,Recruitment,,Skill,Other
79,Behavioral Interviewing,Corporate,HR,Recruitment,,Skill,Other
80,Applicant Tracking Systems (ATS),Corporate,HR,Recruitment,,Skill,Other
81,Candidate Assessment,Corporate,HR,Recruitment,,Skill,Other
82,Employer Branding,Corporate,HR,Recruitment,,Skill,Other
83,Negotiation and Offer Management,Corporate,HR,Recruitment,,Skill,Other
84,Networking,Corporate,HR,Recruitment,,Skill,Other
85,Diversity and Inclusion,Corporate,HR,Recruitment,,Skill,Other
86,Social Media Recruitment,Corporate,HR,Recruitment,,Skill,Other
87,Relationship Building,Corporate,HR,Recruitment,,Skill,Other
88,Candidate Experience,Corporate,HR,Recruitment,,Skill,Other
89,Talent Pipelining,Corporate,HR,Recruitment,,Skill,Other
90,Data-driven Recruitment,Corporate,HR,Recruitment,,Skill,Other
91,Candidate Assessment,Corporate,HR,Recruitment,,Skill,Other
92,Client Relationship Management,Corporate,HR,Recruitment,Executive Search,Skill,Other
93,Needs Assessment and Job Analysis,Corporate,HR,Recruitment,Executive Search,Skill,Other
94,Candidate Sourcing and Research,Corporate,HR,Recruitment,Executive Search,Skill,Other
